# Wavelengths(nm)	0.0V	0.1V	0.2V	0.30000000000000004V	0.4V	0.5V	0.6000000000000001V	0.7000000000000001V	0.8V	0.9V	1.0V	1.1V	1.2000000000000002V	1.3V	1.4000000000000001V	1.5V	1.6V	1.7000000000000002V	1.8V	1.9000000000000001V	2.0V	2.1V	2.2V	2.3000000000000003V	2.4000000000000004V	2.5V	2.6V	2.7V	2.8000000000000003V	2.9000000000000004V	3.0V	3.1V	3.2V	3.3000000000000003V	3.4000000000000004V	3.5V	3.6V	3.7V	3.8000000000000003V	3.9000000000000004V	4.0V	4.1000000000000005V	4.2V	4.3V	4.4V	4.5V	4.6000000000000005V	4.7V	4.800000000000001V	4.9V	5.0V
3.401645356000000220e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.405422249205858520e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.409198830930864119e+02	0.000000000000000000e+00	2.574589285714296238e+01	-6.787553571428566102e+01	-3.042696428571423439e+01	4.681071428571499382e+00	-8.425928571428568148e+01	-1.872428571428565647e+01	-7.021607142857078543e+00	-4.447017857142850517e+01	-2.340535714285704216e+01	-3.744857142857142662e+01	4.681071428571499382e+00	2.574589285714296238e+01	-4.447017857142850517e+01	-7.489714285714285325e+01	3.978910714285723316e+01	6.553500000000008185e+01	-4.681071428571385695e+00	4.681071428571431170e+01	-3.744857142857142662e+01	4.681071428571499382e+00	-2.808642857142854155e+01	2.574589285714296238e+01	-3.744857142857142662e+01	-3.510803571428562009e+01	-3.510803571428562009e+01	0.000000000000000000e+00	-4.447017857142850517e+01	4.681071428571499382e+00	-1.404321428571427077e+01	-1.638374999999996362e+01	-4.681071428571385695e+00	9.362142857142885077e+00	-1.404321428571427077e+01	2.340535714285715585e+01	-2.574589285714284870e+01	-1.872428571428565647e+01	1.170267857142857792e+01	7.021607142857192230e+00	1.404321428571438446e+01	-1.872428571428565647e+01	7.021607142857146755e+01	7.489714285714285325e+01	3.276750000000004093e+01	1.638375000000007731e+01	-7.021607142857078543e+00	4.915125000000000455e+01	-7.021607142857078543e+00	1.404321428571438446e+01	7.021607142857192230e+00	-3.744857142857142662e+01
3.412975101036166166e+02	0.000000000000000000e+00	-2.340535714285692848e+00	2.340535714285692848e+00	4.681071428571442539e+00	-3.978910714285711947e+01	4.681071428571431170e+01	4.681071428571431170e+01	-3.744857142857142662e+01	1.638374999999996362e+01	-3.978910714285711947e+01	2.574589285714284870e+01	7.021607142857135386e+00	-4.681071428571442539e+00	2.340535714285715585e+01	3.978910714285711947e+01	-1.638375000000002046e+01	-1.638375000000002046e+01	2.808642857142854155e+01	6.319446428571427532e+01	2.340535714285692848e+00	-9.362142857142885077e+00	-1.404321428571427077e+01	1.404321428571427077e+01	-4.681071428571442539e+00	2.808642857142854155e+01	3.978910714285711947e+01	-2.808642857142859839e+01	5.383232142857139024e+01	9.362142857142828234e+00	-5.383232142857144709e+01	0.000000000000000000e+00	2.106482142857146300e+01	4.681071428571442539e+00	-2.340535714285715585e+01	3.276750000000004093e+01	-9.362142857142885077e+00	-6.319446428571427532e+01	3.276750000000004093e+01	-1.872428571428571331e+01	-7.021607142857141071e+01	-3.510803571428573377e+01	3.978910714285711947e+01	4.681071428571442539e+00	2.106482142857146300e+01	3.510803571428573377e+01	2.106482142857146300e+01	9.362142857142828234e+00	-3.042696428571429124e+01	-7.021607142857135386e+00	1.872428571428565647e+01	-9.362142857142885077e+00
3.416751059382912104e+02	0.000000000000000000e+00	5.617285714285713993e+01	1.404321428571427077e+01	8.659982142857148801e+01	2.340535714285749691e+00	1.404321428571427077e+01	7.021607142857135386e+00	2.340535714285715585e+01	2.106482142857140616e+01	3.276749999999998408e+01	-1.170267857142857792e+01	7.021607142857135386e+00	3.978910714285717631e+01	3.978910714285717631e+01	-2.574589285714284870e+01	4.212964285714286916e+01	6.787553571428571786e+01	-2.340535714285692848e+00	1.638375000000002046e+01	8.659982142857148801e+01	1.872428571428571331e+01	7.723767857142860294e+01	1.872428571428571331e+01	8.191874999999998863e+01	-1.170267857142857792e+01	-2.340535714285692848e+00	3.510803571428573377e+01	-3.510803571428567693e+01	1.006430357142857588e+02	7.255660714285710355e+01	3.978910714285717631e+01	2.808642857142859839e+01	-7.021607142857135386e+00	3.744857142857142662e+01	2.340535714285715585e+01	7.021607142857135386e+00	5.617285714285713993e+01	1.638375000000002046e+01	5.383232142857144709e+01	-1.872428571428571331e+01	4.681071428571442539e+00	3.978910714285717631e+01	1.404321428571427077e+01	1.404321428571427077e+01	1.872428571428571331e+01	7.723767857142860294e+01	2.340535714285749691e+00	-2.340535714285692848e+00	-2.340535714285715585e+01	2.340535714285749691e+00	2.106482142857140616e+01
3.420526705832249945e+02	0.000000000000000000e+00	1.170267857142857792e+01	2.106482142857140616e+01	4.681071428571442539e+00	4.915125000000000455e+01	5.149178571428569740e+01	3.042696428571429124e+01	7.255660714285716040e+01	7.255660714285716040e+01	5.383232142857144709e+01	3.744857142857142662e+01	9.596196428571425940e+01	4.447017857142856201e+01	5.149178571428569740e+01	7.255660714285716040e+01	3.042696428571429124e+01	7.957821428571429578e+01	7.723767857142854609e+01	7.489714285714285325e+01	8.425928571428573832e+01	3.978910714285711947e+01	1.076646428571428942e+02	7.957821428571429578e+01	7.255660714285716040e+01	6.553499999999996817e+01	6.553499999999996817e+01	4.212964285714286916e+01	5.149178571428569740e+01	4.681071428571431170e+01	3.510803571428573377e+01	7.723767857142854609e+01	7.021607142857141071e+01	8.191874999999998863e+01	2.808642857142854155e+01	3.276749999999998408e+01	-2.106482142857140616e+01	8.191874999999998863e+01	8.425928571428573832e+01	4.915125000000000455e+01	9.362142857142885077e+00	7.021607142857141071e+01	1.100051785714285870e+02	7.723767857142854609e+01	3.978910714285711947e+01	1.287294642857142435e+02	5.851339285714283278e+01	2.808642857142854155e+01	8.191874999999998863e+01	7.255660714285716040e+01	5.851339285714283278e+01	8.191874999999998863e+01
3.424302040245328271e+02	0.000000000000000000e+00	-4.681071428571385695e+00	2.106482142857146300e+01	-1.404321428571427077e+01	-4.681071428571385695e+00	2.340535714285749691e+00	-1.123457142857142799e+02	-1.404321428571427077e+01	-3.978910714285711947e+01	-5.617285714285713993e+01	-1.872428571428571331e+01	-2.106482142857140616e+01	-4.681071428571385695e+00	-1.170267857142857792e+01	-3.978910714285711947e+01	4.681071428571442539e+00	-1.404321428571427077e+01	-1.170267857142857792e+01	4.447017857142856201e+01	-2.106482142857140616e+01	-4.212964285714281232e+01	3.276750000000004093e+01	-2.574589285714284870e+01	1.170267857142857792e+01	-2.106482142857140616e+01	-6.085392857142858247e+01	-5.617285714285713993e+01	3.978910714285717631e+01	-7.255660714285710355e+01	-2.340535714285692848e+00	-7.021607142857135386e+00	-2.340535714285692848e+00	4.212964285714286916e+01	-2.340535714285715585e+01	-9.362142857142828234e+00	-2.574589285714284870e+01	-1.404321428571427077e+01	2.340535714285715585e+01	-4.212964285714281232e+01	7.021607142857146755e+01	5.149178571428569740e+01	0.000000000000000000e+00	0.000000000000000000e+00	-5.617285714285713993e+01	-9.362142857142828234e+00	-1.404321428571427077e+01	-5.383232142857139024e+01	0.000000000000000000e+00	1.170267857142857792e+01	-3.978910714285711947e+01	6.319446428571427532e+01
3.428077062483294526e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.170267857142857792e+01	3.978910714285717631e+01	2.574589285714284870e+01	3.276750000000004093e+01	4.681071428571442539e+00	1.638375000000002046e+01	9.362142857142885077e+00	1.638375000000002046e+01	-1.872428571428571331e+01	0.000000000000000000e+00	0.000000000000000000e+00	9.362142857142885077e+00	5.383232142857144709e+01	-9.362142857142828234e+00	4.681071428571431170e+01	8.659982142857143117e+01	7.021607142857135386e+00	2.574589285714284870e+01	5.851339285714288962e+01	-4.915125000000000455e+01	-1.404321428571427077e+01	1.872428571428571331e+01	-3.744857142857142662e+01	0.000000000000000000e+00	-9.362142857142828234e+00	-1.872428571428571331e+01	1.404321428571427077e+01	1.404321428571427077e+01	-9.362142857142828234e+00	4.447017857142856201e+01	6.085392857142858247e+01	7.021607142857135386e+00	1.170267857142857792e+01	1.404321428571427077e+01	6.319446428571427532e+01	2.808642857142859839e+01	-1.170267857142857792e+01	4.447017857142856201e+01	5.149178571428569740e+01	9.362142857142885077e+00	-9.362142857142828234e+00	5.383232142857144709e+01	3.042696428571429124e+01	5.383232142857144709e+01	9.128089285714281687e+01	6.553500000000002501e+01	1.872428571428571331e+01	4.212964285714286916e+01
3.431851772407295584e+02	0.000000000000000000e+00	2.574589285714284870e+01	2.340535714285709901e+01	-4.681071428571431170e+01	1.872428571428571331e+01	9.362142857142828234e+00	6.319446428571427532e+01	5.383232142857139024e+01	5.851339285714283278e+01	1.638374999999996362e+01	-1.638375000000002046e+01	-3.276750000000004093e+01	1.638374999999996362e+01	-6.085392857142858247e+01	4.447017857142856201e+01	7.255660714285710355e+01	0.000000000000000000e+00	-2.106482142857146300e+01	0.000000000000000000e+00	2.340535714285709901e+01	-4.447017857142856201e+01	5.851339285714283278e+01	1.638374999999996362e+01	-3.042696428571429124e+01	1.872428571428571331e+01	4.915124999999994770e+01	-3.978910714285717631e+01	2.574589285714284870e+01	-1.638375000000002046e+01	6.085392857142852563e+01	4.681071428571425486e+01	6.553499999999996817e+01	-4.681071428571442539e+00	1.638374999999996362e+01	0.000000000000000000e+00	6.553499999999996817e+01	-1.404321428571432762e+01	-7.021607142857135386e+00	2.340535714285709901e+01	1.170267857142852108e+01	5.851339285714283278e+01	2.340535714285692848e+00	-1.872428571428571331e+01	-4.681071428571442539e+00	6.319446428571427532e+01	7.255660714285710355e+01	-2.574589285714290554e+01	4.447017857142856201e+01	7.021607142857141071e+01	-4.447017857142856201e+01	2.808642857142854155e+01
3.435626169878482301e+02	0.000000000000000000e+00	-6.787553571428571786e+01	-7.957821428571429578e+01	-8.191874999999998863e+01	-2.574589285714284870e+01	-8.191874999999998863e+01	1.638374999999996362e+01	-1.427726785714285711e+02	-7.957821428571429578e+01	-2.340535714285715585e+01	-6.085392857142858247e+01	-2.574589285714284870e+01	-6.319446428571427532e+01	-3.276750000000004093e+01	-2.106482142857146300e+01	-4.681071428571431170e+01	-5.383232142857144709e+01	-7.021607142857146755e+01	-6.553500000000002501e+01	-7.489714285714285325e+01	-2.106482142857146300e+01	-4.681071428571431170e+01	1.404321428571427077e+01	2.808642857142854155e+01	-3.276750000000004093e+01	-8.425928571428573832e+01	-6.085392857142858247e+01	-2.106482142857146300e+01	-3.042696428571429124e+01	-3.510803571428573377e+01	-2.574589285714284870e+01	-9.128089285714287371e+01	-5.383232142857144709e+01	-3.276750000000004093e+01	-4.681071428571431170e+01	-3.042696428571429124e+01	-7.957821428571429578e+01	-4.915125000000000455e+01	-5.617285714285713993e+01	0.000000000000000000e+00	-1.170267857142857792e+01	-5.617285714285713993e+01	-5.617285714285713993e+01	-3.510803571428573377e+01	-1.100051785714285870e+02	2.574589285714284870e+01	9.362142857142828234e+00	-4.447017857142856201e+01	2.808642857142854155e+01	-3.276750000000004093e+01	-3.276750000000004093e+01
